term_months,rank,institution,kind,state,apy_pct,min_deposit,promotion,product_note,fdic_cert,ncua_charter,remote_opening,nonresident_eligible,cu_membership_open_nationwide,early_withdrawal_penalty,source_url,read_note,date_checked
3,1,Habib American Bank,bank,NY,4.50,,no,,25093,,yes,no (SSN required),,Substantial early withdrawal penalties apply.,https://www.hab.bank/rates,,2026-09-24
3,2,Ivy Bank (Cambridge Savings Bank),bank,MA,4.25,,no,,17870,,yes,not stated,,Substantial penalties for early withdrawal may be imposed.,https://www.ivybank.com/cds,,2026-09-24
3,3,Heritage Bank Minnesota,bank,MN,4.16,250,no,,8865,,not stated,not stated,,"CD & IRA Interest Rates Rates current as of December 18, 2025 TYPE OF PRODUCT MINIMUM DEPOSIT INTEREST RATE Annual Percentage Yield (APY)* EARLY WITHDRAWAL PENALTIES (Minimum $25) 3 Month Fixed CD $250 4.10% 4.16% 91 Days Interest 6 Month F",https://heritagebankmn.com/personal/cds-iras/,,2026-09-24
3,4,Bask Bank (Texas Capital Bank),bank,TX,4.10,,no,,34383,,not stated,no (SSN required),,Penalty may be imposed for early withdrawal and may reduce earnings.,https://baskbank.com/sites/default/files/Documents/Disclosures/rates-and-fee-schedule.pdf,,2026-09-24
3,5,Farmers and Merchants Bank,bank,NE,4.06,,no,,14275,,yes,not stated,,ates of Deposit Learn More Month Rate APY 3 Month 4.00% 4.06% 6 Month 4.00% 4.06% 12 Month 4.10% 4.16% 24 Month 4.20% 4.27% 36 Month 4.30% 4.37% 48 Month 4.30% 4.37% 60 Month 4.30% 4.37% Penalty with early withdrawal Find Us Contact Us Find,https://www.fmbmilligan.com/services-tools/tools/rates.html,,2026-09-24
3,6,Farmers Insurance FCU,credit_union,CA,4.00,,yes,,,1074,not stated,no (SSN required),yes (free American Consumer Council membership),Certificate rates subject to change at any time and are subject to substantial penalties for early withdrawal.,https://figfcu.org/certificates,,2026-09-24
3,6,"First Jackson Bank, Inc.",bank,AL,4.00,,no,,23376,,not stated,not stated,,NOTICE: This account may require a minimum daily balance and/or impose a penalty for early withdrawal.,https://firstjacksonbank.com/rates/,,2026-09-24
3,8,Balboa Thrift and Loan Association,bank,CA,3.98,,no,,26704,,not stated,not stated,,An early withdrawal penalty equal to three (3) months of interest may be imposed for early withdrawals.,https://www.balboathrift.com/deposits/deposit-rates,,2026-09-24
3,9,Bank of the Flint Hills,bank,KS,3.91,,no,,4791,,not stated,not stated,,A penalty may be imposed for early withdrawal.,https://www.bfh.bank/personal/deposit-rates,,2026-09-24
3,10,Stearns Bank National Association,bank,MN,3.90,500,no,,10988,,not stated,not stated,,3 No penalty may be imposed for early withdrawal.,https://www.stearnsbank.com/personal/cds,,2026-09-24
3,10,Bread Savings,bank,UT,3.90,1500,no,,57570,,not stated,not stated,,A penalty will be imposed for early withdrawals on CDs.,https://www.breadfinancial.com/en/bread-savings/certificates-of-deposit.html,,2026-09-24
3,10,Bank of Utah,bank,UT,3.90,,no,,17159,,yes,not stated,,"Ability to Add Funds to Account After Initial Deposit: No Ability to Make Early Withdrawals from Account: Not without penalty How to Open an Account: 3-Month, 6-Month, 1-Year, 2-Year, and all terms 3 years and longer can be opened online ; ",https://www.bankofutah.com/personal/checking-savings/certificate-of-deposit-accounts,,2026-09-24
3,10,FinWise Bank,bank,UT,3.90,,no,,35323,,yes,not stated,,‡ An early withdrawal penalty may apply for all Certificates of Deposit.,https://www.finwise.bank/wp-content/uploads/2026/04/Online-FW-Savings-Certificate-of-Deposit-Rates-04-10-2026.pdf,,2026-09-24
3,14,Citizens Bank & Trust Company,bank,KY,3.85,500,no,,15675,,not stated,not stated,,Penalty may be imposed for early withdrawal.,https://www.cbtky.com/personal/certificate-of-deposit-rates,,2026-09-24
3,14,First National Bank of America,bank,MI,3.85,,no,,17438,,yes,not stated,,A penalty may be imposed for early withdrawal.,https://www.fnba.com/deposit-rates/,,2026-09-24
3,16,Merchants Bank of Indiana,bank,IN,3.82,,no,,8056,,not stated,not stated,,026 Choose from the following terms: 12 Month Flex Index CD Open Flex Index CD online Account Details: Minimum balance to open CD is $1000 Must maintain minimum balance of $1000 every day to earn APY Penalty may be imposed for early withdra,https://bankmerchants.com/certificates-of-deposit/,,2026-09-24
3,17,USALLIANCE Financial,credit_union,NY,3.80,500,no,,,17587,not stated,not stated,not stated,"Dividend Savings Certificate Accounts Certificate Account products (similar to CDs) are available for Individual Retirement Accounts (IRAs), with the exception of the 11 Month Special Certificate (No Early Withdrawal Penalty).",https://www.usalliance.org/about-us/rates/savings-rates,,2026-09-24
3,17,Banesco USA,bank,FL,3.80,,no,,57815,,yes,no for the posted rate (separate international CD; rate not published),,"Certificate of Deposit An account that earns a fixed rate of interest for a fixed term Open online $1,000 minimum opening balance No monthly maintenance fee $0.01 minimum balance to earn interest Early withdrawal penalties may apply 9 Zelle",https://banescousa.com/personal/deposits/us/,,2026-09-24
3,17,Leighton State Bank,bank,IA,3.80,,no,,10118,,not stated,not stated,,p 3.75% 3.80% Quarterly 4 Year Step 3.50% 3.55% Quarterly 5 Year 3.50% 3.53% Semi-Annually * Annual Percentage Yield (APY) Rates effective 8/24/2026 and subject to change $500 minimum balance for CDs Early withdrawal penalties may apply.,https://leightonbank.com/bank-with-us/personal/cds-iras-and-hsas/,,2026-09-24
3,17,One World Bank,bank,TX,3.80,,no,,57901,,not stated,not stated,,A penalty may be imposed for early withdrawal.,https://www.oneworldbank.com/bank-rates/,,2026-09-24
3,21,Gulf Coast Business Bank,bank,FL,3.77,5000,no,,59281,,not stated,not stated,,Early withdrawal penalties may apply.,https://www.gcbbswfl.com/resources/rates,,2026-09-24
3,22,Credit Union of Southern California,credit_union,CA,3.75,500,no,,,24983,not stated,not stated,no (local or relative),A penalty may be imposed for early withdrawals.,https://www.cusocal.org/loans/personal/rates/,,2026-09-24
3,22,Cross River Bank,bank,NJ,3.75,500,no,,58410,,not stated,not stated,,CDs are subject to penalty for early withdrawal.,https://www.crossriver.com/personal-banking,,2026-09-24
3,22,Pathway Bank,bank,NE,3.75,1000,no,,1992,,not stated,not stated,,Substantial Penalty for Early Withdrawal.,https://www.pathwaybank.com/cds-iras-hsas,,2026-09-24
3,25,ESB Financial,bank,KS,3.70,,no,,16629,,not stated,not stated,,Greater earnings than standard savings Receive higher rates by selecting a longer term Provides more guarantee than other risky investments A wide range of terms available (from 3 months to 5 years) Penalty for early withdrawal FDIC insured,https://www.esbfinancial.com/banking/personal-banking/personal-savings/certificates-of-deposit-cds.html,,2026-09-24
3,26,Freedom Bank of Southern Missouri,bank,MO,3.65,1000,no,,35276,,not stated,not stated,,"Savings ++ $5 $0 0.40% 0.40% Business Savings ++ $100 $0 - - Tier 1 <$50,000.00 - $0 0.35% - Tier 2 $50,000.00 - $50,000 0.45% - Tier 3 $100,000.00 - $100,000 0.55% - APY = Annual Percentage Yield *A penalty may be imposed for early withdra",https://www.freedombk.com/deposit,,2026-09-24
3,26,Bradesco Bank,bank,FL,3.65,,no,,21265,,not stated,not stated,,"If funds are withdrawn within six (6) days of the date of deposit, an early withdrawal penalty of seven (7) days’ simple interest on the amount withdrawn will be charged.",https://bradescobank.com/es/certificate-of-deposit-bradesco/,,2026-09-24
3,26,Technology Credit Union,credit_union,CA,3.65,,no,,,68383,not stated,not stated,not stated,Penalties will be imposed for early withdrawals.,https://www.techcu.com/Resources/Rates,,2026-09-24
